Player,Retained / Draft Pick,Cost,2021 Squad,Team
Rashid Khan,Draft Pick,$1.95M,Sunrisers Hyderabad,Gujarat Titans
Hardik Pandya,Draft Pick,$1.95M,Mumbai Indians,Gujarat Titans
Lockie Ferguson,,$1.3M,Kolkata Knight Riders,Gujarat Titans
Rahul Tewatia,,$1.17M,Rajasthan Royals,Gujarat Titans
Shubman Gill,Draft Pick,$1.04M,Kolkata Knight Riders,Gujarat Titans
Mohammad Shami,,$812.5K,Punjab Kings,Gujarat Titans
Yash Dayal,,$416K,,Gujarat Titans
David Miller,,$390K,Rajasthan Royals,Gujarat Titans
R. Sai Kishore,,$390K,Chennai Super Kings,Gujarat Titans
Abhinav Sadarangani,,$338K,,Gujarat Titans
Matthew Wade,,$312K,,Gujarat Titans
Alzarri Joseph,,$312K,,Gujarat Titans
Jason Roy,,$260K,Sunrisers Hyderabad,Gujarat Titans
Wriddhiman Saha,,$247K,Sunrisers Hyderabad,Gujarat Titans
Jayant Yadav,,$221K,Mumbai Indians,Gujarat Titans
Vijay Shankar,,$182K,Sunrisers Hyderabad,Gujarat Titans
Dominic Drakes,,$143K,Chennai Super Kings,Gujarat Titans
Varun Aaron,,$65K,,Gujarat Titans
Gurkeerat Singh,,$65K,Kolkata Knight Riders,Gujarat Titans
Noor Ahmad,,$39K,,Gujarat Titans
Darshan Nalkande,,$26K,Punjab Kings,Gujarat Titans
Pradeep Sangwan,,$26K,,Gujarat Titans
Ravindra Jadeja,Retained,$2.08M,Chennai Super Kings,Chennai Super Kings
Deepak Chahar,,$1.82M,Chennai Super Kings,Chennai Super Kings
MS Dhoni,Retained,$1.56M,Chennai Super Kings,Chennai Super Kings
Moeen Ali,Retained,$1.04M,Chennai Super Kings,Chennai Super Kings
Ambati Rayudu,,$877.5K,Chennai Super Kings,Chennai Super Kings
Ruturaj Gaikwad,Retained,$780K,Chennai Super Kings,Chennai Super Kings
Dwayne Bravo,,$572K,Chennai Super Kings,Chennai Super Kings
Shivam Dube,,$520K,Rajasthan Royals,Chennai Super Kings
Chris Jordan,,$468K,Punjab Kings,Chennai Super Kings
Robin Uthappa,,$260K,Chennai Super Kings,Chennai Super Kings
Mitchell Santner,,$247K,Chennai Super Kings,Chennai Super Kings
Adam Milne,,$247K,Mumbai Indians,Chennai Super Kings
Rajvardhan Hangargekar,,$195K,,Chennai Super Kings
Prashant Solanki,,$156K,,Chennai Super Kings
Devon Conway,,$130K,,Chennai Super Kings
Maheesh Theekshana,,$91K,,Chennai Super Kings
Dwaine Pretorius,,$65K,,Chennai Super Kings
K.Bhagath Varma,,$26K,Chennai Super Kings,Chennai Super Kings
Simarjeet Singh,,$26K,Mumbai Indians,Chennai Super Kings
N. Jagadeesan,,$26K,Chennai Super Kings,Chennai Super Kings
C.Hari Nishaanth,,$26K,Chennai Super Kings,Chennai Super Kings
K.M. Asif,,$26K,Chennai Super Kings,Chennai Super Kings
Tushar Deshpande,,$26K,,Chennai Super Kings
Subhranshu Senapati,,$26K,,Chennai Super Kings
Mukesh Choudhary,,$26K,,Chennai Super Kings
Rishabh Pant,Retained,$2.08M,Delhi Capitals,Delhi Capitals
Shardul Thakur,,$1.3975M,Chennai Super Kings,Delhi Capitals
Axar Patel,Retained,$1.17M,Delhi Capitals,Delhi Capitals
Prithvi Shaw,Retained,$975K,Delhi Capitals,Delhi Capitals
Mitchell Marsh,,$845K,,Delhi Capitals
Anrich Nortje,Retained,$845K,Delhi Capitals,Delhi Capitals
David Warner,,$812.5K,Sunrisers Hyderabad,Delhi Capitals
Syed Khaleel Ahmed,,$682.5K,Sunrisers Hyderabad,Delhi Capitals
Chetan Sakariya,,$546K,Rajasthan Royals,Delhi Capitals
Rovman Powell,,$364K,,Delhi Capitals
K.S. Bharat,,$260K,Royal Challengers Bangalore,Delhi Capitals
Mustafizur Rahman,,$260K,Rajasthan Royals,Delhi Capitals
Kuldeep Yadav,,$260K,Kolkata Knight Riders,Delhi Capitals
Kamlesh Nagarkoti,,$143K,Kolkata Knight Riders,Delhi Capitals
Mandeep Singh,,$143K,Punjab Kings,Delhi Capitals
Lalit Yadav,,$84.5K,Delhi Capitals,Delhi Capitals
Tim Seifert,,$65K,Kolkata Knight Riders,Delhi Capitals
Pravin Dubey,,$65K,Delhi Capitals,Delhi Capitals
Lungisani Ngidi,,$65K,Chennai Super Kings,Delhi Capitals
Yash Dhull,,$65K,,Delhi Capitals
Ashwin Hebbar,,$26K,,Delhi Capitals
Sarfaraz Khan,,$26K,Punjab Kings,Delhi Capitals
