Player,Matches,Innings,Not Out,Runs,High Score,Average,Balls Faced,strikeRate,100,50,4s,6s
Jos Buttler,17,17,2,863,116,57.53,579,149.05,4,4,83,45
K L Rahul,15,15,3,616,103*,51.33,455,135.38,2,4,45,30
Quinton De Kock,15,15,1,508,140*,36.29,341,148.97,1,3,47,23
Hardik Pandya,15,15,4,487,87*,44.27,371,131.26,0,4,49,12
Shubman Gill,16,16,2,483,96,34.5,365,132.32,0,4,51,11
David Miller,16,16,9,481,94*,68.71,337,142.72,0,2,32,23
Faf Du Plessis,16,16,1,468,96,31.2,367,127.52,0,3,49,13
Shikhar Dhawan,14,14,2,460,88*,38.33,375,122.66,0,3,47,12
Sanju Samson,17,17,1,458,55,28.63,312,146.79,0,2,43,26
Deepak Hooda,15,14,0,451,59,32.21,330,136.66,0,4,36,18
Liam Livingstone,14,14,2,437,70,36.42,240,182.08,0,4,29,34
David Warner,12,12,3,432,92*,48,287,150.52,0,5,52,15
Abhishek Sharma,14,14,0,426,75,30.43,320,133.12,0,2,47,13
Ishan Kishan,14,14,1,418,81*,32.15,348,120.11,0,3,45,11
Rahul Tripathi,14,14,3,413,76,37.55,261,158.23,0,3,40,20
Shreyas Iyer,14,14,1,401,85,30.85,298,134.56,0,3,41,11
Tilak Varma,14,14,3,397,61,36.09,303,131.02,0,2,29,16
Aiden Markram,14,12,4,381,68*,47.63,274,139.05,0,3,25,19
Devdutt Padikkal,17,17,0,376,54,22.12,306,122.87,0,1,40,14
Ruturaj Gaikwad,14,14,0,368,99,26.29,291,126.46,0,3,33,14
Nitish Rana,14,14,1,361,57,27.77,251,143.82,0,2,29,22
Virat Kohli,16,16,1,341,73,22.73,294,115.98,0,2,32,8
Rishabh Pant,14,13,2,340,44,30.91,224,151.78,0,0,35,16
Andre Russell,14,12,3,335,70*,37.22,192,174.47,0,1,18,32
Rajat Patidar,8,7,1,333,112*,55.5,218,152.75,1,2,27,18
Dinesh Karthik,16,16,10,330,66*,55,180,183.33,0,1,27,22
Wriddhiman Saha,11,11,1,317,68,31.7,259,122.39,0,3,40,7
Shimron Hetmyer,15,15,8,314,59*,44.86,204,153.92,0,1,21,21
Nicholas Pooran,14,13,5,306,64*,38.25,212,144.33,0,2,16,21
Suryakumar Yadav,8,8,1,303,68*,43.29,208,145.67,0,3,23,16
Glenn Maxwell,13,13,2,301,55,27.36,178,169.1,0,1,31,15
Shivam Dube,11,11,1,289,95*,28.9,185,156.21,0,2,22,16
Prithvi Shaw,10,10,0,283,61,28.3,185,152.97,0,2,37,10
Ambati Rayudu,13,11,0,274,78,24.91,224,122.32,0,1,25,15
Rohit Sharma,14,14,0,268,48,19.14,223,120.17,0,0,28,13
Yashasvi Jaiswal,10,10,0,258,68,25.8,194,132.98,0,2,28,10
Jonny Bairstow,11,11,0,253,66,23,175,144.57,0,2,34,9
Devon Conway,7,7,1,252,87,42,173,145.66,0,3,22,12
Mitchell Marsh,8,8,0,251,89,31.38,189,132.8,0,2,19,14
Rovman Powell,14,12,2,250,67*,25,167,149.7,0,1,10,22
Moeen Ali,10,10,0,244,93,24.4,177,137.85,0,1,24,11
Jitesh Sharma,12,10,2,234,44,29.25,143,163.63,0,0,22,12
MS Dhoni,14,13,6,232,50*,33.14,188,123.4,0,1,21,10
Robin Uthappa,12,11,0,230,88,20.91,171,134.5,0,2,19,14
Shahbaz Ahmed,16,11,3,219,45,27.38,181,120.99,0,0,14,9
Rahul Tewatia,16,12,5,217,43*,31,147,147.61,0,0,22,9
Kane Williamson,13,13,2,216,57,19.64,231,93.5,0,1,16,8
Bhanuka Rajapaksa,9,9,0,206,43,22.89,129,159.68,0,0,16,13
Mayank Agarwal,13,12,0,196,52,16.33,160,122.5,0,1,23,6
Ravichandran Ashwin,17,12,5,191,50,27.29,135,141.48,0,1,14,9
Tim David,8,8,3,186,46,37.2,86,216.27,0,0,12,16
