Matches,Teams,Position,Wins,Losses,NRR
1,CSK,10,0,1,-0.63
1,DC,2,0,0,0
1,GT,3,0,0,0
1,KKR,1,1,0,0.63
1,LSG,4,0,0,0
1,MI,5,0,0,0
1,PK,6,0,0,0
1,RCB,7,0,0,0
1,RR,8,0,0,0
1,SRH,9,0,0,0
2,CSK,9,0,1,-0.63
2,DC,1,1,0,0.91
2,GT,3,0,0,0
2,KKR,2,1,0,0.63
2,LSG,4,0,0,0
2,MI,10,0,1,-0.91
2,PK,5,0,0,0
2,RCB,6,0,0,0
2,RR,7,0,0,0
2,SRH,8,0,0,0
3,CSK,8,0,1,-0.63
3,DC,1,1,0,0.91
3,GT,4,0,0,0
3,KKR,3,1,0,0.63
3,LSG,5,0,0,0
3,MI,10,0,1,-0.91
3,PK,2,1,0,0.69
3,RCB,9,0,1,-0.69
3,RR,6,0,0,0
3,SRH,7,0,0,0
4,CSK,8,0,1,-0.63
4,DC,1,1,0,0.91
4,GT,4,1,0,0.28
4,KKR,3,1,0,0.63
4,LSG,7,0,1,-0.28
4,MI,10,0,1,-0.91
4,PK,2,1,0,0.69
4,RCB,9,0,1,-0.69
4,RR,5,0,0,0
4,SRH,6,0,0,0
5,CSK,7,0,1,-0.63
5,DC,2,1,0,0.91
5,GT,5,1,0,0.28
5,KKR,4,1,0,0.63
5,LSG,6,0,1,-0.28
5,MI,9,0,1,-0.91
5,PK,3,1,0,0.69
5,RCB,8,0,1,-0.69
5,RR,1,1,0,3.05
5,SRH,10,0,1,-3.05
6,CSK,8,0,1,-0.63
6,DC,2,1,0,0.914
6,GT,4,1,0,0.286
6,KKR,5,1,1,0.093
6,LSG,7,0,1,-0.28
6,MI,9,0,1,-0.914
6,PK,3,1,0,0.697
6,RCB,6,1,1,-0.048
6,RR,1,1,0,3.05
6,SRH,10,0,1,-3.05
7,CSK,8,0,2,-0.528
7,DC,2,1,0,0.914
7,GT,4,1,0,0.286
7,KKR,5,1,1,0.093
7,LSG,6,1,1,-0.011
7,MI,9,0,1,-0.914
7,PK,3,1,0,0.697
7,RCB,7,1,1,-0.048
7,RR,1,1,0,3.05
7,SRH,10,0,1,-3.05
8,CSK,7,0,2,-0.52
8,DC,3,1,0,0.91
8,GT,4,1,0,0.28
8,KKR,1,2,1,0.84
8,LSG,5,1,1,-0.01
8,MI,9,0,1,-0.91
8,PK,7,1,1,-1.18
8,RCB,6,1,1,-0.04
8,RR,2,1,0,3.05
8,SRH,10,0,1,-3.05
9,CSK,8,0,2,-0.52
9,DC,3,1,0,0.91
9,GT,4,1,0,0.28
9,KKR,2,2,1,0.84
9,LSG,5,1,1,-0.01
9,MI,9,0,2,-1.029
9,PK,7,1,1,-1.18
9,RCB,6,1,1,-0.04
9,RR,1,2,0,2.1
9,SRH,10,0,1,-3.05
10,CSK,8,0,2,-0.528
10,DC,4,1,1,0.065
